entity_id,country,location_name,canonical_latitude,canonical_longitude,station_id,station_name,station_latitude,station_longitude,station_elevation_m,wmo_id,first_year,last_year,distance_to_city_km,candidate_rank_by_distance,valid_prcp_days,expected_days,coverage_ratio,station_selection_status,selected_station_rank
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4.9031,114.9398,BXM00096315,BRUNEI INTL,4.944,114.928,22.3,96315,1981,2025,4.732032455504528,1,1613,2192,0.7358576642335767,selected_coverage_ok,1
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4.9031,114.9398,MY000096465,LABUAN,5.3,115.25,30.0,96465,1955,2025,55.92929215811481,2,1613,2192,0.7358576642335767,selected_coverage_ok,2
SEA_ID_JAKARTA,Indonesia,Jakarta,-6.2088,106.8456,IDM00096739,BUDIARTO,-6.293,106.57,47.0,96739,1973,2025,31.869468947095704,2,40,2192,0.01824817518248175,best_available_below_minimum_coverage,1
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,11.5564,104.9282,CBM00048991,PHNOM PENH INTL,11.547,104.844,12.2,48991,1950,2025,9.232338773174519,1,644,2192,0.2937956204379562,best_available_below_minimum_coverage,1
SEA_LA_VIENTIANE,Laos,Vientiane,17.9757,102.6331,THW00041018,UDON THANI,17.3833,102.8,178.0,48354,1943,2025,68.20383731212151,2,982,2192,0.44799270072992703,best_available_below_minimum_coverage,1
SEA_MM_YANGON,Myanmar,Yangon,16.8409,96.1735,BMM00048097,YANGON INTL,16.907,96.133,33.2,48097,1954,2025,8.52022860447297,1,567,2192,0.25866788321167883,best_available_below_minimum_coverage,1
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,3.139,101.6869,MYM00048647,SULTAN ABDUL AZIZ SHAH INTL,3.131,101.549,27.4,48647,1949,2025,15.336673693569555,1,1642,2192,0.7490875912408759,selected_coverage_ok,1
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,3.139,101.6869,MYM00048650,KUALA LUMPUR INTL,2.746,101.71,21.0,48650,2005,2025,43.77489213616411,2,1554,2192,0.708941605839416,selected_coverage_ok,2
SEA_PH_MANILA,Philippines,Manila,14.5995,120.9842,RP000098430,SCIENCE GARDEN,14.633,121.017,46.0,98430,1961,2025,5.131364745316449,1,1151,2192,0.5250912408759124,best_available_below_minimum_coverage,1
SEA_SG_SINGAPORE,Singapore,Singapore,1.3521,103.8198,SNM00048698,SINGAPORE CHANGI INTL,1.35,103.994,6.7,48698,1962,2025,19.366205860033904,1,1727,2192,0.7878649635036497,selected_coverage_ok,1
SEA_TH_BANGKOK,Thailand,Bangkok,13.7563,100.5018,TH000048456,DON MUANG,13.917,100.6,12.0,48456,1943,2025,20.777769525648516,1,1075,2192,0.4904197080291971,best_available_below_minimum_coverage,1
SEA_TL_DILI,Timor-Leste,Dili,-8.5569,125.5603,IDM00097320,ALOR/MALI/KALABAHI,-8.217,124.567,12.0,97320,1979,2025,115.62059000381622,1,58,2192,0.02645985401459854,best_available_below_minimum_coverage,1
SEA_VN_HANOI,Vietnam,Hanoi,21.0278,105.8342,CHM00059417,LONGZHOU,22.367,106.75,129.0,59417,1953,2025,176.42781357761345,1,2006,2192,0.9151459854014599,selected_coverage_ok,1
SEA_VN_HANOI,Vietnam,Hanoi,21.0278,105.8342,VMM00048845,VINH,18.737,105.671,5.2,48845,1978,2025,255.29658993783818,2,1459,2192,0.6656021897810219,selected_coverage_ok,2
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,10.8231,106.6297,VMM00048917,PHU QUOC,10.217,103.967,4.0,48917,1961,2025,298.7998325979624,2,1422,2192,0.6487226277372263,selected_coverage_ok,1
